,London Mean Roadside,,,,,,,London Mean Background,,,,,,
Month,Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3),Nitric Oxide (ug/m3),Nitrogen Dioxide (ug/m3),Oxides of Nitrogen (ug/m3),Ozone (ug/m3),PM10 Particulate (ug/m3),PM2.5 Particulate (ug/m3),Sulphur Dioxide (ug/m3)
Jan-2008,,55.5,,29.5,25.0,14.7,4.2,,42.3,,36.9,18.8,.,3.6
Feb-2008,,75.9,,20.3,39.5,28.8,7.6,,60.2,,26.4,31.9,.,6.7
Mar-2008,,55.6,,40.1,21.6,12.3,3.9,,39.8,,50.2,15.5,.,2.3
Apr-2008,,61.8,,37.9,28.7,20.5,4.5,,44.0,,50.1,21.7,.,3.2
May-2008,,62.9,,46.3,34.6,27.5,4.6,,44.1,,60.5,29.5,16.6,4.3
Jun-2008,,49.2,,39.8,23.2,16.0,3.6,,31.2,,51.3,18.3,12.6,2.5
Jul-2008,,48.4,,35.0,23.0,14.2,3.1,,31.2,,46.6,17.2,11.9,2.5
Aug-2008,,41.1,,30.0,20.7,11.5,2.2,,27.9,,37.1,15.5,11.2,2.1
Sep-2008,,54.1,,22.4,28.2,18.0,3.7,,41.2,,28.9,22.2,15.3,3.1
Oct-2008,,56.7,,19.3,23.0,12.9,4.3,,43.8,,25.4,16.5,11.6,2.8
Nov-2008,,57.9,,18.8,21.9,14.7,3.3,,42.3,,22.6,16.8,12.9,2.7
Dec-2008,,65.1,,14.5,27.3,20.5,3.8,,47.5,,16.7,21.5,18.1,3.5
Jan-2009,,68.5,,18.8,31.1,23.2,5.9,,52.0,,21.5,25.3,20.7,4.8
Feb-2009,,71.9,,15.1,28.0,19.1,4.7,,52.7,,20.3,20.8,17.2,3.0
Mar-2009,,65.2,,32.3,30.0,19.7,3.3,,45.3,,40.2,24.3,17.3,2.9
Apr-2009,,63.2,,35.7,32.6,26.1,2.7,,40.1,,46.0,27.7,21.6,2.7
May-2009,,48.6,,45.4,24.9,14.3,2.8,,28.1,,55.1,19.7,11.8,2.4
Jun-2009,,56.1,,40.1,24.7,15.9,3.6,,33.1,,52.5,19.9,13.1,2.5
Jul-2009,,44.4,,32.8,20.2,11.2,2.4,,24.9,,40.4,15.5,9.8,2.2
Aug-2009,,48.7,,28.6,21.7,13.3,2.3,,29.2,,36.0,16.6,11.4,2.5
Sep-2009,,51.6,,26.3,24.3,14.4,2.4,,32.7,,33.1,19.1,11.6,3.0
Oct-2009,,62.9,,15.0,27.2,18.0,4.3,,44.3,,20.3,21.5,14.4,4.0
Nov-2009,,53.7,,29.9,21.9,12.9,3.4,,36.6,,36.5,17.5,11.4,2.8
Dec-2009,,65.2,,18.9,23.1,16.3,4.1,,50.0,,22.3,18.6,13.9,3.6
Jan-2010,100.5,65.7,166.4,14.0,30.2,24.3,4.7,45.2,51.9,97.2,17.4,25.0,22.1,4.2
Feb-2010,78.8,63.9,142.8,23.8,25.2,18.3,4.6,29.3,47.7,77.0,29.8,19.4,15.9,3.2
Mar-2010,72.4,59.8,120.6,26.4,25.6,15.9,3.4,23.0,40.8,63.8,42.5,19.4,14.1,2.7
Apr-2010,63.9,60.2,124.0,37.2,29.8,18.8,4.6,20.9,41.9,62.8,50.2,24.3,16.3,4.1
May-2010,60.9,53.2,114.1,35.1,24.5,16.2,3.9,17.3,33.1,50.5,47.2,19.9,13.2,3.2
Jun-2010,55.2,53.9,109.1,34.0,26.5,17.4,4.4,13.4,33.7,47.1,50.2,22.0,15.1,3.2
Jul-2010,58.7,46.5,105.2,28.6,20.9,12.5,3.1,11.5,25.1,36.6,42.8,16.5,8.9,2.6
Aug-2010,60.6,46.6,107.2,24.3,18.1,11.0,3.3,13.0,26.1,39.1,35.9,15.4,8.9,2.0
Sep-2010,78.1,57.2,135.3,20.3,23.8,14.5,3.6,23.9,35.4,59.4,31.8,14.5,11.4,2.7
